Time [s],Channel 2
38.556087520,1
38.560196000,0
39.060759200,1
39.064836000,0
39.565400320,1
39.569429440,0
40.070000960,1
40.073977920,0
40.574533440,1
40.578434880,0
41.079009920,1
41.083661280,0
41.588152480,1
41.591153600,0
42.091620960,1
42.094854880,0
42.595308320,1
42.598510240,0
43.098976480,1
43.101954240,0
43.602416160,1
43.605686880,0
44.106158080,1
44.109216640,0
44.609685440,1
44.612647200,0
45.113119200,1
45.116074080,0
45.616539360,1
45.619501280,0
46.119999840,1
46.125035040,0
46.625572640,1
46.629513760,0
47.130085280,1
47.134197600,0
47.634662880,1
47.638570400,0
48.139140640,1
48.143135040,0
48.643739360,1
48.647659360,0
49.148262400,1
49.152249440,0
49.652969280,1
49.656941120,0
50.157522400,1
50.161474080,0
50.662044640,1
50.665948320,0
51.166697120,1
51.175472800,0
51.676147520,1
51.680006240,0
52.180706080,1
52.186131200,0
52.686774240,1
52.690672800,0
53.191389920,1
53.195401440,0
53.696289600,1
53.700174240,0
54.200891680,1
54.204990880,0
54.705706400,1
54.709694720,0
55.210426240,1
55.214287520,0
55.715000640,1
55.718832160,0
56.219516640,1
56.227885920,0
56.728219680,1
56.731121280,0
57.231444480,1
57.234445760,0
57.734848960,1
57.737788000,0
58.238121440,1
58.241422720,0
58.741856800,1
58.744796960,0
59.245135360,1
59.248083360,0
59.748415520,1
59.751408640,0
60.251739040,1
60.254696000,0
60.755019520,1
60.757965920,0
61.258321120,1
61.263451040,0
61.764165280,1
61.768129280,0
62.268837280,1
62.272946560,0
62.773665920,1
62.777626720,0
63.278346560,1
63.282284000,0
63.782967840,1
63.786888000,0
64.287656960,1
64.291654560,0
64.792360640,1
64.796371040,0
65.297073440,1
65.300990880,0
65.801786080,1
65.805733440,0
66.306449760,1
66.315115040,0
66.815825600,1
66.819826080,0
67.320564160,1
67.324772960,0
67.825442560,1
67.829398240,0
68.330094560,1
68.334076800,0
68.834770080,1
68.838714080,0
69.339417760,1
69.343404960,0
69.844112480,1
69.848130240,0
70.348847200,1
70.352785600,0
70.853493920,1
70.857428800,0
71.358128960,1
71.362952320,0
71.863681600,1
71.867648480,0
72.368361600,1
72.372604000,0
72.873284480,1
72.877441920,0
73.378154560,1
73.382417120,0
73.883084000,1
73.887187680,0
74.387905760,1
74.391926720,0
74.892748800,1
74.897068640,0
75.397772960,1
75.401945760,0
75.902713440,1
75.906590080,0
76.407357280,1
76.417720800,0
76.918070400,1
76.921075040,0
77.421409440,1
77.424631200,0
77.924968800,1
77.928450880,0
78.428784160,1
78.431752000,0
78.932087680,1
78.935242240,0
79.435596000,1
79.438563520,0
79.938889280,1
79.941849600,0
80.442173600,1
80.445137120,0
80.945462880,1
80.948424160,0
81.448898560,1
81.455130400,0
81.955888000,1
81.959891520,0
82.460692480,1
82.466179040,0
82.966891040,1
82.970839040,0
83.471615200,1
83.475637920,0
83.976356800,1
83.980240960,0
84.480940160,1
84.484932480,0
84.985653120,1
84.989831200,0
85.490594880,1
85.494547360,0
85.995253280,1
85.999136160,0
86.500389760,1
86.504802400,0
87.005380000,1
87.009222080,0
87.509793760,1
87.513877120,0
88.014456000,1
88.018508800,0
88.519067520,1
88.523035520,0
89.023640960,1
89.027646560,0
89.528212320,1
89.532154240,0
90.032722880,1
90.036662560,0
90.537232320,1
90.541183840,0
91.041768640,1
91.045992160,0
91.546964480,1
91.553037120,0
92.053759840,1
92.057715360,0
92.558387200,1
92.563508640,0
93.064224640,1
93.068218080,0
93.568945440,1
93.572912160,0
94.073632320,1
94.077542560,0
94.578230720,1
94.582242720,0
95.082943840,1
95.086908640,0
95.587612160,1
95.591622560,0
96.092373600,1
96.097762720,0
96.599716960,1
96.603125440,0
97.103498400,1
97.106476480,0
97.606797760,1
97.609879840,0
98.110200320,1
98.113200960,0
98.613517920,1
98.616471360,0
99.116798240,1
99.119754240,0
99.620073280,1
99.623063840,0
100.123405760,1
100.126340800,0
100.626659520,1
100.629607840,0
101.129961280,1
101.133656800,0
101.634370720,1
101.638366080,0
102.139082240,1
102.143723360,0
102.644364960,1
102.648365120,0
103.149074560,1
103.153207840,0
103.653905280,1
103.657845120,0
104.158545760,1
104.162504160,0
104.663201120,1
104.667098880,0
105.167794720,1
105.171690080,0
105.672400480,1
105.676234080,0
106.176924480,1
106.184014400,0
106.684624800,1
106.688410080,0
107.189131360,1
107.194606880,0
107.695181920,1
107.699009600,0
108.199718560,1
108.203735840,0
108.704412640,1
108.711137760,0
109.211611680,1
109.214568800,0
109.715023360,1
109.717990240,0
110.218452320,1
110.221416000,0
110.721875040,1
110.724815360,0
111.225292320,1
111.230840480,0
111.731540320,1
111.734449120,0
112.234916640,1
112.237937760,0
112.738425280,1
112.741344480,0
113.241966080,1
113.244890080,0
113.745520000,1
113.748784320,0
114.249506720,1
114.253308800,0
114.754113440,1
114.757967360,0
115.258701440,1
115.262531040,0
115.763369120,1
115.767276640,0
116.268000800,1
116.274584960,0
116.775384480,1
116.779289120,0
117.280002400,1
117.284037760,0
117.784746560,1
117.788564960,0
118.289278560,1
118.293161760,0
118.793878080,1
118.797694400,0
119.298395360,1
119.302271520,0
119.802980160,1
119.806848480,0
120.307613120,1
120.311485760,0
120.812311680,1
120.816221920,0
121.316918080,1
121.321583680,0
121.821916000,1
121.824936000,0
122.325263680,1
122.328334720,0
122.828672640,1
122.831597280,0
123.331923680,1
123.334842240,0
123.835166720,1
123.838087360,0
124.338412800,1
124.341324320,0
124.841644000,1
124.844581440,0
125.344904160,1
125.347829920,0
125.848159200,1
125.851078400,0
126.351440960,1
126.355282240,0
126.855967840,1
126.859911520,0
127.360613440,1
127.364826560,0
127.865512960,1
127.869406560,0
128.370111680,1
128.373961280,0
128.874629120,1
128.878489280,0
129.379251520,1
129.383053440,0
129.883768320,1
129.887746400,0
130.388454880,1
130.392313440,0
130.893001280,1
130.896935040,0
131.397613600,1
131.404174880,0
131.904750880,1
131.909226240,0
132.409791680,1
132.415167520,0
132.915739520,1
132.919858080,0
133.420420160,1
133.424455840,0
133.925012480,1
133.929180960,0
134.429792000,1
134.433747040,0
134.934315520,1
134.939211040,0
135.439794880,1
135.443756480,0
135.944332000,1
135.948226880,0
136.448953280,1
136.453575200,0
136.954313120,1
136.958219680,0
137.458955040,1
137.464336000,0
137.965040160,1
137.968987040,0
138.469593120,1
138.473627040,0
138.974329760,1
138.980196000,0
139.480915360,1
139.484680960,0
139.985426400,1
139.989237120,0
140.489954240,1
140.493767360,0
140.994483520,1
140.998368480,0
141.499426240,1
141.507749760,0
142.008247520,1
142.011211360,0
142.511712640,1
142.515300160,0
143.015784000,1
143.018863840,0
143.519334560,1
143.522261280,0
144.022726560,1
144.025673440,0
144.526128480,1
144.529065920,0
145.029528640,1
145.032473760,0
145.532938400,1
145.535870240,0
146.036375040,1
146.039840480,0
146.540535200,1
146.544390400,0
147.045104160,1
147.049097760,0
147.551130080,1
147.556121920,0
148.056856320,1
148.061070240,0
148.561790240,1
148.565729440,0
149.066461440,1
149.070411680,0
149.571217760,1
149.575212000,0
150.075944640,1
150.079887520,0
150.580613760,1
150.584503520,0
151.087069760,1
151.090038080,0
151.591379840,1
151.596296160,0
152.097023360,1
152.101006240,0
152.601755520,1
152.606140640,0
153.106852480,1
