Time [s],Channel 1,Channel 2
66.011797120,0,1
66.511847200,1,1
66.512017600,1,0
67.012104960,0,0
67.012301760,0,1
67.512348800,1,1
67.512516000,1,0
68.012520480,0,0
68.012670880,0,1
68.512749600,1,1
68.512913760,1,0
69.012986080,0,0
69.013171840,0,1
69.513237280,1,1
69.513414560,1,0
70.013397600,0,0
70.013634240,0,1
70.513554560,1,1
70.513734560,1,0
71.013953600,0,0
71.014169280,0,1
71.514243520,1,1
71.514442880,1,0
72.014718720,0,0
72.014940160,0,1
72.515178400,1,1
72.515376480,1,0
73.015436160,0,0
73.015645920,0,1
73.515879840,1,1
73.516086400,1,0
74.016194720,0,0
74.016406080,0,1
74.516637760,1,1
74.516846560,1,0
75.016896800,0,0
75.017117760,0,1
75.517316320,1,1
75.517521280,1,0
76.017594400,0,0
76.017816960,0,1
76.518023040,1,1
76.518231840,1,0
77.018480960,0,0
77.018696160,0,1
77.518738400,1,1
77.518938240,1,0
78.019184800,0,0
78.019397440,0,1
78.519435520,1,1
78.519608480,1,0
79.019929920,0,0
79.020370240,0,1
79.520172640,1,1
79.520381440,1,0
80.020616960,0,0
80.020872320,0,1
80.520945280,1,1
80.521140320,1,0
81.021221440,0,0
81.021443360,0,1
81.521526240,1,1
81.521740160,1,0
82.021789600,0,0
82.022012480,0,1
82.522244640,1,1
82.522455680,1,0
83.022679680,0,0
83.022887520,0,1
83.523144800,1,1
83.523322720,1,0
84.023396160,0,0
84.023612640,0,1
84.523834080,1,1
84.524057600,1,0
85.024138880,0,0
85.024341760,0,1
85.524438400,1,1
85.524592960,1,0
86.024653760,0,0
86.024771520,0,1
86.524878240,1,1
86.524991520,1,0
87.025057440,0,0
87.025179040,0,1
87.525286880,1,1
87.525396160,1,0
88.025450880,0,0
88.025559680,0,1
88.525676480,1,1
88.525768480,1,0
89.025886880,0,0
89.025995680,0,1
89.526115840,1,1
89.526230400,1,0
90.026273440,0,0
90.026432800,0,1
90.526533280,1,1
90.526702240,1,0
91.026945600,0,0
91.027183200,0,1
91.527262880,1,1
91.527469600,1,0
92.027531520,0,0
92.027748320,0,1
92.527864320,1,1
92.528055520,1,0
93.028118080,0,0
