Time [s],Channel 2
86.447348160,1
86.454327200,0
86.954938720,1
86.958739040,0
87.459317600,1
87.463341600,0
87.963900320,1
87.967734880,0
88.468332320,1
88.472204160,0
88.972803200,1
88.976641120,0
89.477201440,1
89.481063840,0
89.981647520,1
89.985497280,0
90.486259200,1
90.490116000,0
90.990717920,1
90.994555040,0
91.495128640,1
91.501388320,0
92.001968000,1
92.005859520,0
92.506436640,1
92.512728000,0
93.013309120,1
93.017127680,0
93.517703360,1
93.521519680,0
94.022091360,1
94.025954400,0
94.526517120,1
94.530400320,0
95.030979200,1
95.034856640,0
95.535528160,1
95.539406560,0
96.039992320,1
96.043855040,0
96.544419360,1
96.549325760,0
97.049713760,1
97.052612320,0
97.553000800,1
97.555986240,0
98.056372480,1
98.059291840,0
98.559672640,1
98.562578240,0
99.062944160,1
99.065840160,0
99.566251840,1
99.569168640,0
100.069542080,1
100.072467840,0
100.572781120,1
100.575691040,0
101.076073600,1
101.078966560,0
101.579583360,1
101.585252960,0
102.085831360,1
102.089887040,0
102.590476800,1
102.595176480,0
103.095749280,1
103.099870720,0
103.600450720,1
103.604329440,0
104.104906880,1
104.109308800,0
104.609885920,1
104.613759200,0
105.114327360,1
105.118312480,0
105.618783040,1
105.622709280,0
106.123202560,1
106.127585600,0
106.628159520,1
106.635675040,0
107.136184480,1
107.140158400,0
107.640640320,1
107.646704160,0
108.147176800,1
108.151047200,0
108.651520160,1
108.655346720,0
109.155818560,1
109.159657600,0
109.660150400,1
109.663962240,0
110.164495840,1
110.168255680,0
110.668809280,1
110.672600160,0
111.173181600,1
111.177034720,0
111.677598880,1
111.681185600,0
112.181638560,1
112.184607040,0
112.685006880,1
112.688068960,0
113.188460160,1
113.191409600,0
113.691794400,1
113.694732160,0
114.195124960,1
114.198082560,0
114.698463680,1
114.701406720,0
115.201782880,1
115.204733440,0
115.705015520,1
115.707971520,0
116.210768640,1
116.213563360,0
116.713987200,1
116.718263040,0
117.218751840,1
117.222729920,0
117.723197440,1
117.727826240,0
118.228310560,1
118.232483520,0
118.732954880,1
118.736911840,0
119.237373440,1
119.241355040,0
119.741832480,1
119.745814880,0
120.246301440,1
120.251111200,0
120.751688320,1
120.755635520,0
121.256210240,1
121.263725440,0
121.764498400,1
121.769416800,0
122.270033760,1
122.274142240,0
122.775280800,1
122.779411360,0
123.280044320,1
123.283997760,0
123.784584960,1
123.788466400,0
124.289040160,1
124.292952960,0
124.793583360,1
124.797484160,0
125.298069120,1
125.301949600,0
125.802521920,1
125.806426400,0
126.307034240,1
126.317629440,0
126.818106720,1
126.821046240,0
127.321518240,1
127.324486240,0
127.825564960,1
127.827965120,0
128.328344960,1
128.331284320,0
128.831683200,1
128.834629280,0
129.335009120,1
129.337971360,0
129.838363360,1
129.841322080,0
130.341696640,1
130.344688480,0
130.845072320,1
130.848030880,0
131.348427360,1
131.351888480,0
131.852483360,1
131.856451360,0
132.357025760,1
132.361805600,0
132.862371840,1
132.866246400,0
133.366839680,1
133.370849440,0
133.871408640,1
133.875240480,0
134.375852320,1
134.379670560,0
134.880228160,1
134.884276960,0
135.384862240,1
135.388709440,0
135.889186400,1
135.893024000,0
136.393476000,1
136.402907360,0
136.903192160,1
136.906104480,0
137.406415680,1
137.409426080,0
137.909711360,1
137.912645600,0
138.412924640,1
138.415852160,0
138.916127840,1
138.919035200,0
139.419309280,1
139.422273120,0
139.922550880,1
139.925500160,0
140.425777440,1
140.428719840,0
140.929098080,1
140.932030560,0
141.432433760,1
141.436889920,0
141.937482240,1
141.941295040,0
142.441877280,1
142.446173120,0
142.946790560,1
142.950649280,0
143.451228800,1
143.455115040,0
143.955785600,1
143.959619040,0
144.460211680,1
144.464086720,0
144.964665920,1
144.968487200,0
145.469406560,1
145.473719520,0
145.974283040,1
145.978237760,0
146.478706080,1
146.486191520,0
146.986475360,1
146.989406240,0
147.489688800,1
147.493231680,0
147.993519360,1
147.996447040,0
148.496733920,1
148.499661440,0
148.999945600,1
149.002861440,0
149.503148800,1
149.506079040,0
150.006367840,1
150.009300960,0
150.510146560,1
150.513051200,0
151.013434400,1
151.016360320,0
151.516921280,1
151.524173440,0
152.024846240,1
152.028647200,0
152.529231040,1
152.534409120,0
153.035000000,1
153.038864320,0
153.539451360,1
153.543285440,0
154.043907680,1
154.047825920,0
154.548415360,1
154.552225760,0
155.052836320,1
155.056682720,0
155.557427520,1
155.561306080,0
156.061782400,1
156.065615040,0
156.566120800,1
156.576706400,0
157.077183040,1
157.081916160,0
157.582400800,1
157.588022720,0
158.088496800,1
158.092429920,0
158.592900160,1
158.596797440,0
159.097266400,1
159.101137280,0
159.601612160,1
159.605485760,0
160.105970880,1
160.109915040,0
160.610494400,1
160.614328960,0
161.114902720,1
161.118728160,0
161.619274720,1
161.624762560,0
162.125348480,1
162.129164320,0
162.629725280,1
162.634041920,0
163.134638560,1
163.138701120,0
163.639329120,1
163.643273280,0
164.143854400,1
164.147907200,0
164.648512000,1
164.652458080,0
165.153024480,1
165.157788960,0
165.658285280,1
165.662306720,0
166.162884960,1
166.166974240,0
166.667524320,1
166.674664000,0
167.175043680,1
167.177992640,0
167.678372640,1
167.681421760,0
168.181871840,1
168.184888640,0
168.685264800,1
168.688190080,0
169.188570560,1
169.191514080,0
169.691897120,1
169.694813280,0
170.195212480,1
170.198209120,0
170.698548640,1
170.701468640,0
171.201925440,1
171.205200800,0
171.705785600,1
171.709700160,0
172.210296320,1
172.214890560,0
172.715469600,1
172.721492800,0
173.222088480,1
173.225997280,0
173.726580800,1
173.730477440,0
174.231068480,1
174.235058560,0
174.735683360,1
174.739513600,0
175.240144000,1
175.244051360,0
175.744627840,1
175.748510240,0
176.249339680,1
176.253634560,0
176.755919840,1
176.761189760,0
177.261771040,1
177.265514240,0
177.766087040,1
177.770373280,0
178.270962560,1
178.274699040,0
178.775263040,1
178.778968640,0
179.279541600,1
179.283291360,0
179.783994080,1
179.787729120,0
180.288302560,1
180.292029280,0
180.792596480,1
180.796303200,0
181.296862080,1
181.306536960,0
181.807180320,1
181.810960800,0
182.311591040,1
182.315506560,0
182.816228960,1
182.821076960,0
183.321665440,1
183.325506720,0
183.826173920,1
183.829888160,0
184.330470080,1
184.334273760,0
184.834881440,1
184.838740960,0
185.339348800,1
185.343231840,0
185.843861920,1
185.847748800,0
186.348249600,1
186.355988000,0
186.856356320,1
186.860234720,0
187.360737920,1
187.365065760,0
187.865531840,1
187.869554080,0
188.370028480,1
188.374021280,0
188.874567040,1
188.878449120,0
189.378948640,1
189.382995520,0
189.883487360,1
189.888030720,0
190.388504160,1
190.392482080,0
190.893055840,1
190.896973280,0
191.397518400,1
191.401672960,0
191.902043360,1
191.904956800,0
192.405345120,1
192.408349440,0
192.908765120,1
192.911688960,0
193.412078720,1
193.415019520,0
193.915414880,1
193.918383360,0
194.418779200,1
194.421719520,0
194.922109440,1
194.925029760,0
195.425422560,1
195.428380960,0
195.928660480,1
195.931625920,0
196.431933280,1
196.435483360,0
196.935957920,1
196.939843200,0
197.440319200,1
197.444916000,0
197.945357120,1
197.949385760,0
198.449861440,1
198.453813760,0
198.954439040,1
198.958378080,0
199.458863040,1
199.463094400,0
199.963615200,1
199.967605120,0
200.468422560,1
200.472404320,0
200.972962080,1
200.976941120,0
201.477498720,1
201.484518080,0
201.985104480,1
201.989476640,0
