Time [s],Channel 1,Channel 2
104.886944000,1,0
104.887125280,1,1
105.387192640,0,1
105.387376480,0,0
105.887383840,1,0
105.887566240,1,1
106.387614080,0,1
106.387813920,0,0
106.887836160,1,0
106.888135360,1,1
107.388050080,0,1
107.388224320,0,0
107.888235200,1,0
107.888416800,1,1
108.388450880,0,1
108.388638400,0,0
108.888653920,1,0
108.888848800,1,1
109.388864320,0,1
109.389036000,0,0
109.889035520,1,0
109.889210400,1,1
110.389252640,0,1
110.389445920,0,0
110.889466080,1,0
110.889651360,1,1
111.389692000,0,1
111.389892640,0,0
111.889911360,1,0
111.890093600,1,1
112.390136000,0,1
112.390312960,0,0
112.890324960,1,0
112.890503360,1,1
113.390528320,0,1
113.390706240,0,0
113.890724160,1,0
113.890912640,1,1
114.390932640,0,1
114.391108640,0,0
114.891124800,1,0
114.891308000,1,1
115.391350880,0,1
115.391535520,0,0
115.891550240,1,0
115.891727200,1,1
116.391788160,0,1
116.391991840,0,0
116.892011680,1,0
116.892194400,1,1
117.392228800,0,1
117.392393760,0,0
117.892401280,1,0
117.892583520,1,1
118.392622560,0,1
118.392809440,0,0
118.892834560,1,0
118.893023680,1,1
119.393058720,0,1
119.393227200,0,0
119.893245440,1,0
119.893431200,1,1
120.393504480,0,1
120.393694880,0,0
120.893710560,1,0
120.893892160,1,1
121.393947200,0,1
121.394146720,0,0
121.894171840,1,0
121.894357920,1,1
122.394388160,0,1
122.394563520,0,0
122.894576640,1,0
122.894796320,1,1
123.394841440,0,1
123.395024320,0,0
123.895043680,1,0
123.895233280,1,1
124.395267520,0,1
124.395449120,0,0
124.895471200,1,0
124.895663680,1,1
125.395734080,0,1
125.395917440,0,0
125.895932160,1,0
125.896116480,1,1
126.396180960,0,1
126.396381600,0,0
126.896405600,1,0
126.896593600,1,1
127.396626720,0,1
127.396799360,0,0
127.896807520,1,0
127.896992000,1,1
128.397021440,0,1
128.397204800,0,0
128.897227200,1,0
128.897412960,1,1
129.397440640,0,1
129.397597440,0,0
129.897609760,1,0
129.897792000,1,1
130.397833600,0,1
130.398020800,0,0
130.898039360,1,0
130.898219200,1,1
131.398253920,0,1
131.398454720,0,0
131.898474880,1,0
131.898699840,1,1
132.398761280,0,1
132.398967200,0,0
132.898985600,1,0
132.899172000,1,1
133.399208160,0,1
