Time [s],Channel 1,Channel 2
79.510748800,1,1
80.010737280,0,1
80.010923520,0,0
80.510915040,1,0
80.511121120,1,1
81.011119200,0,1
81.011318240,0,0
81.511308160,1,0
81.511501280,1,1
82.011496480,0,1
82.011685600,0,0
82.511667840,1,0
82.511854560,1,1
83.011843200,0,1
83.012010400,0,0
83.511993440,1,0
83.512198720,1,1
84.012191360,0,1
84.012384480,0,0
84.512373600,1,0
84.512581280,1,1
85.012563200,0,1
85.012739040,0,0
85.512716480,1,0
85.512922560,1,1
86.012920800,0,1
86.013116960,0,0
86.513108480,1,0
86.513301600,1,1
87.013304480,0,1
87.013494080,0,0
87.513477920,1,0
87.513673920,1,1
88.013664800,0,1
88.013850240,0,0
88.513844000,1,0
88.514042880,1,1
89.014032320,0,1
89.014207040,0,0
89.514187040,1,0
89.514389440,1,1
90.014375040,0,1
90.014616800,0,0
90.514614560,1,0
90.514820480,1,1
91.014805760,0,1
91.014994720,0,0
91.514995200,1,0
91.515191360,1,1
92.015191040,0,1
92.015390400,0,0
92.515371040,1,0
92.515564160,1,1
93.015567520,0,1
93.015752320,0,0
93.515761120,1,0
93.515960480,1,1
94.015954080,0,1
94.016139200,0,0
94.516125760,1,0
94.516327840,1,1
95.016312480,0,1
95.016483200,0,0
95.516472480,1,0
95.516683680,1,1
96.016675520,0,1
96.016874880,0,0
96.516863360,1,0
96.517048640,1,1
97.017042080,0,1
97.017221120,0,0
97.517199360,1,0
97.517382400,1,1
98.017382560,0,1
98.017684960,0,0
98.517556000,1,0
98.517755040,1,1
99.017745760,0,1
99.017929440,0,0
99.517915040,1,0
99.518118080,1,1
100.018107520,0,1
100.018292960,0,0
100.518283360,1,0
100.518515040,1,1
101.018519520,0,1
101.018714080,0,0
101.518698080,1,0
101.518886560,1,1
102.018885920,0,1
102.019078400,0,0
102.519063360,1,0
102.519249600,1,1
103.019264800,0,1
103.019439040,0,0
103.519426240,1,0
103.519627200,1,1
104.019618880,0,1
104.019811680,0,0
104.519791200,1,0
104.519998400,1,1
105.019984480,0,1
105.020162560,0,0
105.520158720,1,0
105.520363200,1,1
106.020358240,0,1
106.020575680,0,0
106.520544160,1,0
106.520864160,1,1
107.020727360,0,1
107.020905600,0,0
107.520894080,1,0
107.521091680,1,1
108.021078560,0,1
108.021273440,0,0
108.521264480,1,0
108.521464640,1,1
109.021456800,0,1
109.021629440,0,0
109.521618240,1,0
109.521815200,1,1
110.021806720,0,1
110.021989760,0,0
110.521981120,1,0
110.522183520,1,1
111.022178240,0,1
111.022407040,0,0
111.522410240,1,0
111.522609280,1,1
112.022603680,0,1
112.022797440,0,0
112.522776960,1,0
112.522956800,1,1
113.022956960,0,1
113.023118880,0,0
113.523107680,1,0
113.523300160,1,1
114.023302880,0,1
114.023496160,0,0
114.523485280,1,0
114.523688800,1,1
115.023676480,0,1
115.023840640,0,0
115.523833280,1,0
115.524037440,1,1
116.024035360,0,1
116.024238560,0,0
116.524223200,1,0
116.524416000,1,1
117.024414720,0,1
117.024596320,0,0
117.524583840,1,0
117.524768640,1,1
118.024770080,0,1
118.024960160,0,0
118.524950080,1,0
118.525142720,1,1
119.025140160,0,1
119.025312960,0,0
119.525299520,1,0
119.525504640,1,1
120.025487680,0,1
120.025679680,0,0
120.525671040,1,0
120.525875680,1,1
121.025871840,0,1
121.026077280,0,0
121.526064960,1,0
121.526257120,1,1
122.026257440,0,1
122.026438880,0,0
122.526424000,1,0
122.526609600,1,1
123.026616640,0,1
123.026792000,0,0
123.526781120,1,0
123.526985600,1,1
124.026979680,0,1
124.027165120,0,0
124.527161280,1,0
124.527361920,1,1
125.027350720,0,1
125.027515200,0,0
125.527504320,1,0
125.527711040,1,1
126.027708160,0,1
126.027908800,0,0
126.527894880,1,0
126.528085760,1,1
127.028084960,0,1
127.028385280,0,0
127.528244000,1,0
127.528431840,1,1
128.028422880,0,1
128.028608960,0,0
128.528613920,1,0
128.528809120,1,1
129.028808640,0,1
129.028980320,0,0
129.528965760,1,0
129.529172160,1,1
130.029158560,0,1
130.029342560,0,0
130.529334240,1,0
130.529542080,1,1
131.029537760,0,1
131.029734560,0,0
131.529727680,1,0
131.529930400,1,1
132.029905120,0,1
132.030070080,0,0
132.530026080,1,0
132.530170880,1,1
133.030143360,0,1
133.030283840,0,0
133.530243360,1,0
133.530378240,1,1
134.030366400,0,1
134.030528800,0,0
134.530488320,1,0
134.530649920,1,1
135.030615040,0,1
135.030771840,0,0
135.530733760,1,0
135.530896320,1,1
136.030858080,0,1
136.031020640,0,0
136.530977600,1,0
136.531132480,1,1
137.031125920,0,1
137.031314880,0,0
137.531308800,1,0
137.531504640,1,1
138.031510720,0,1
138.031841120,0,0
138.531717760,1,0
138.531915040,1,1
