Time [s],Channel 1,Channel 2
42.828422880,1,1
43.328343520,0,1
43.328599200,0,0
43.828574560,1,0
43.828851360,1,1
44.328802880,0,1
44.329072000,0,0
44.829021760,1,0
44.829288000,1,1
45.329236800,0,1
45.329503040,0,0
45.829456480,1,0
45.829637440,1,1
46.329643360,0,1
46.329824000,0,0
46.829842720,1,0
46.830024480,1,1
47.330033600,0,1
47.330218080,0,0
47.830286880,1,0
47.830550240,1,1
48.330657120,0,1
48.330886720,0,0
48.831214240,1,0
48.831473760,1,1
49.331764800,0,1
49.332007200,0,0
49.832390240,1,0
49.832632960,1,1
50.332928160,0,1
50.333166560,0,0
50.833514880,1,0
50.833802880,1,1
51.334085600,0,1
51.334412320,0,0
51.834612640,1,0
51.834938880,1,1
52.334982880,0,1
52.335315360,0,0
52.835278240,1,0
52.835582560,1,1
53.335587360,0,1
53.335918720,0,0
53.835928000,1,0
53.836247840,1,1
54.336255200,0,1
54.336569120,0,0
54.836592000,1,0
54.836918720,1,1
55.336931680,0,1
55.337247200,0,0
55.837267840,1,0
55.837595840,1,1
56.337585440,0,1
56.337875040,0,0
56.837912640,1,0
56.838245920,1,1
57.338255360,0,1
57.338591840,0,0
57.838686720,1,0
57.839002560,1,1
58.338996960,0,1
58.339311040,0,0
58.839497600,1,0
58.839832160,1,1
59.340048640,0,1
59.340395200,0,0
59.840444000,1,0
59.840793120,1,1
60.340768960,0,1
60.341066080,0,0
60.841120160,1,0
60.841456800,1,1
61.341503840,0,1
61.341733600,0,0
61.841888640,1,0
61.842138880,1,1
62.342270720,0,1
62.342517760,0,0
62.842575200,1,0
62.842790560,1,1
63.342877120,0,1
63.343109440,0,0
63.843245920,1,0
63.843472320,1,1
64.343556160,0,1
64.343789280,0,0
64.843889600,1,0
64.844125760,1,1
65.344219840,0,1
65.344433920,0,0
65.844521760,1,0
65.844760320,1,1
66.344841760,0,1
66.345068960,0,0
66.845119040,1,0
66.845461120,1,1
67.345472800,0,1
67.345807200,0,0
67.845755040,1,0
67.846041920,1,1
68.345963200,0,1
68.346228640,0,0
68.846163200,1,0
68.846443200,1,1
69.346360960,0,1
69.346630720,0,0
69.846546080,1,0
69.846816320,1,1
70.346734880,0,1
70.346978560,0,0
70.846904160,1,0
70.847188000,1,1
71.347084960,0,1
71.347359680,0,0
71.847270080,1,0
71.847543040,1,1
72.347452640,0,1
72.347729760,0,0
72.847705440,1,0
72.848048640,1,1
73.348086560,0,1
73.348428320,0,0
73.848435520,1,0
73.848766400,1,1
74.348755200,0,1
74.349094240,0,0
74.849086400,1,0
74.849421600,1,1
75.349433280,0,1
75.349736320,0,0
75.849729920,1,0
75.850056800,1,1
76.350084000,0,1
76.350322400,0,0
76.850413440,1,0
76.850644480,1,1
77.350738080,0,1
77.350978560,0,0
77.851023360,1,0
77.851221600,1,1
78.351233440,0,1
78.351406720,0,0
78.851434080,1,0
78.851630560,1,1
79.351629760,0,1
79.351810400,0,0
79.851814880,1,0
79.852003520,1,1
80.352003680,0,1
80.352168640,0,0
80.852180160,1,0
80.852362080,1,1
81.352361920,0,1
81.352621920,0,0
81.852546080,1,0
81.852764000,1,1
82.352713760,0,1
82.352991840,0,0
82.852982240,1,0
82.853332160,1,1
83.353448000,0,1
83.353683520,0,0
83.853769120,1,0
83.854019200,1,1
84.354102720,0,1
84.354341440,0,0
84.854473760,1,0
84.854709600,1,1
85.354840640,0,1
85.355075680,0,0
85.855198080,1,0
