Time [s],Channel 1,Channel 2
89.747386240,1,1
90.247325920,0,1
90.247559360,0,0
90.747495360,1,0
90.747667200,1,1
91.247643840,0,1
91.247907520,0,0
91.747841280,1,0
91.748086880,1,1
92.248034720,0,1
92.248283520,0,0
92.748297440,1,0
92.748610720,1,1
93.248611840,0,1
93.248904320,0,0
93.748965600,1,0
93.749257600,1,1
94.249276640,0,1
94.249568000,0,0
94.749571360,1,0
94.749867840,1,1
95.249968320,0,1
95.250270560,0,0
95.750312320,1,0
95.750616640,1,1
96.250660800,0,1
96.250989600,0,0
96.750973440,1,0
96.751264800,1,1
97.251276800,0,1
97.251588800,0,0
97.751528640,1,0
97.751794560,1,1
98.251712480,0,1
98.251960320,0,0
98.751900640,1,0
98.752154240,1,1
99.252099520,0,1
99.252352480,0,0
99.752276000,1,0
99.752442240,1,1
100.252451680,0,1
100.252623200,0,0
100.752616960,1,0
100.752783040,1,1
101.252795040,0,1
101.252950240,0,0
101.752992160,1,0
101.753160640,1,1
102.253184160,0,1
102.253355040,0,0
102.753432480,1,0
102.753665600,1,1
103.253727680,0,1
103.253956960,0,0
103.754023520,1,0
103.754222400,1,1
104.254283200,0,1
104.254502880,0,0
104.754562720,1,0
104.754857120,1,1
105.254869120,0,1
105.255178240,0,0
105.755166560,1,0
105.755464960,1,1
106.255474720,0,1
106.255736320,0,0
106.755782720,1,0
106.756132960,1,1
107.256138400,0,1
107.256449920,0,0
107.756397760,1,0
107.756664320,1,1
108.256588960,0,1
108.257007840,0,0
108.756776000,1,0
108.757025920,1,1
109.256952800,0,1
109.257213280,0,0
109.757139360,1,0
109.757383840,1,1
110.257319040,0,1
110.257572480,0,0
110.757493600,1,0
110.757690560,1,1
111.257671840,0,1
111.257868000,0,0
111.757841440,1,0
111.758132480,1,1
112.258020160,0,1
112.258273280,0,0
112.758269280,1,0
112.758650560,1,1
113.258584800,0,1
113.258816800,0,0
113.758869760,1,0
113.759153120,1,1
114.259171680,0,1
114.259487040,0,0
114.759500480,1,0
114.759716000,1,1
115.259835040,0,1
115.260059840,0,0
115.760135040,1,0
115.760343680,1,1
116.260506080,0,1
116.260661600,0,0
116.760828640,1,0
116.761044480,1,1
117.261164320,0,1
117.261393280,0,0
117.761498720,1,0
117.761722560,1,1
118.261810560,0,1
118.262052000,0,0
118.762111200,1,0
118.762307040,1,1
119.262396320,0,1
119.262628160,0,0
119.762704800,1,0
119.762992160,1,1
120.263008800,0,1
120.263318400,0,0
120.763298240,1,0
120.763584160,1,1
121.263600640,0,1
121.263920640,0,0
121.763910560,1,0
121.764194240,1,1
122.264199360,0,1
122.264508480,0,0
122.764499360,1,0
122.764794560,1,1
123.264790880,0,1
123.265106720,0,0
123.765092320,1,0
123.765381920,1,1
124.265372320,0,1
124.265671360,0,0
124.765660320,1,0
124.765943840,1,1
125.265956800,0,1
125.266270400,0,0
125.766238080,1,0
125.766529440,1,1
126.266530880,0,1
126.266850240,0,0
126.766848000,1,0
126.767115040,1,1
127.267147520,0,1
127.267454240,0,0
127.767498720,1,0
127.767800640,1,1
128.267818880,0,1
128.268141600,0,0
128.768197600,1,0
128.768481760,1,1
129.268547680,0,1
129.268856000,0,0
129.768904160,1,0
129.769118400,1,1
130.269260960,0,1
130.269485280,0,0
130.769567680,1,0
130.769779520,1,1
131.269877600,0,1
131.270107360,0,0
131.770184160,1,0
131.770354080,1,1
132.270479840,0,1
132.270705920,0,0
132.770794880,1,0
132.771020480,1,1
133.271109920,0,1
133.271335200,0,0
133.771428000,1,0
133.771634720,1,1
134.271766240,0,1
134.271995520,0,0
134.772072320,1,0
134.772373920,1,1
135.272459680,0,1
135.272758080,0,0
135.772805920,1,0
135.773100320,1,1
136.273143840,0,1
136.273456800,0,0
136.773485600,1,0
136.773695040,1,1
137.273752960,0,1
137.274056480,0,0
137.774003680,1,0
137.774245920,1,1
138.274185120,0,1
138.274428480,0,0
138.774366400,1,0
138.774597440,1,1
139.274544000,0,1
139.274789440,0,0
139.774724000,1,0
139.774959200,1,1
140.274907520,0,1
140.275168640,0,0
140.775076000,1,0
140.775319200,1,1
141.275250560,0,1
141.275515360,0,0
141.775432800,1,0
141.775673920,1,1
142.275629440,0,1
142.275877440,0,0
142.775885120,1,0
142.776198400,1,1
143.276200960,0,1
143.276508160,0,0
143.776522400,1,0
143.776801120,1,1
144.276804480,0,1
144.277117920,0,0
144.777096960,1,0
144.777612480,1,1
145.277407200,0,1
145.277708800,0,0
145.777702720,1,0
145.777989440,1,1
146.277986720,0,1
146.278305600,0,0
146.778281920,1,0
146.778578240,1,1
147.278654080,0,1
147.278916480,0,0
147.779004000,1,0
147.779314080,1,1
148.279372160,0,1
148.279676480,0,0
148.779735680,1,0
148.780005600,1,1
149.280026240,0,1
149.280331040,0,0
149.780332000,1,0
149.780621920,1,1
150.280631520,0,1
150.280935840,0,0
150.780917280,1,0
150.781193920,1,1
151.281211680,0,1
151.281532640,0,0
151.781715360,1,0
151.782004960,1,1
152.282221600,0,1
152.282499840,0,0
152.782533600,1,0
152.782847040,1,1
153.283063840,0,1
153.283381600,0,0
153.783630400,1,0
153.783909600,1,1
154.283932800,0,1
154.284243840,0,0
154.784436640,1,0
154.784735680,1,1
155.284939840,0,1
155.285250400,0,0
