Time [s],Channel 2
47.380383200,0
47.881308320,1
47.881953440,0
48.382462240,1
48.383115520,0
48.883597120,1
48.884238240,0
49.384755040,1
49.385453600,0
49.885964160,1
49.886621120,0
50.387146400,1
50.387839040,0
50.888345920,1
50.888999680,0
51.389509280,1
51.390705600,0
51.891367040,1
51.892038240,0
52.392531200,1
52.393137600,0
52.893626400,1
52.894485120,0
53.395356960,1
53.396364000,0
53.897051360,1
53.897908160,0
54.398571040,1
54.399530400,0
54.900366880,1
54.901252800,0
55.401895680,1
55.402836960,0
55.903579680,1
55.904426240,0
56.405046880,1
56.405981280,0
56.906605120,1
56.907458720,0
57.408084320,1
57.408939040,0
57.909536320,1
57.910194880,0
58.410684960,1
58.411327040,0
58.911761600,1
58.912418880,0
59.413103680,1
59.413822560,0
59.914328320,1
59.915019360,0
60.415535680,1
60.416263840,0
60.916959840,1
60.917645120,0
61.418142240,1
61.418903840,0
61.919624160,1
61.920312480,0
62.420799840,1
62.421621120,0
62.922253120,1
62.923071200,0
63.423860960,1
63.424627520,0
63.925146400,1
63.925960000,0
64.426830400,1
64.427784160,0
64.928410240,1
64.929239360,0
65.429840000,1
65.430756800,0
65.931461280,1
65.932255520,0
66.433008640,1
66.433940640,0
66.934573920,1
66.935446560,0
67.436073920,1
67.436679200,0
67.937024160,1
67.937595520,0
68.438077600,1
68.438821120,0
68.939925920,1
68.940544800,0
69.440966880,1
69.441641600,0
69.942064960,1
69.942682400,0
70.443102720,1
70.443799200,0
70.944229120,1
70.944835840,0
71.445262080,1
71.445947200,0
71.946384160,1
71.947023360,0
72.447459200,1
72.448358560,0
72.948943840,1
72.949799680,0
73.450426880,1
73.451454240,0
73.952340480,1
73.953164960,0
74.453784320,1
74.454751360,0
74.955398080,1
74.956298560,0
75.457112320,1
75.458052960,0
75.958719520,1
75.959565120,0
76.460195200,1
76.461129120,0
76.961753760,1
76.962621440,0
77.463289600,1
77.463909440,0
77.964339840,1
77.964975360,0
78.465484800,1
78.466227680,0
78.966662400,1
78.967280640,0
79.467705120,1
79.468384960,0
79.968813760,1
79.969412960,0
80.469825440,1
80.470510720,0
80.970939520,1
80.971519520,0
81.471921760,1
81.472617120,0
81.973042240,1
81.973680960,0
82.474139040,1
82.474906240,0
82.975435040,1
82.976095840,0
83.476608960,1
83.477398720,0
83.977906240,1
83.978636960,0
84.479339360,1
84.480079520,0
84.980750240,1
84.981414080,0
85.482115360,1
85.482840960,0
85.983344320,1
85.983956960,0
86.484462720,1
86.485173120,0
86.985668000,1
86.986356480,0
87.486870880,1
87.487865280,0
87.988736960,1
87.989612320,0
88.490264160,1
88.491136640,0
88.991752800,1
88.992580640,0
89.493245440,1
89.494164480,0
89.994790400,1
89.995683360,0
90.496305600,1
90.497230560,0
90.997851200,1
90.998661440,0
91.499288320,1
91.500187680,0
92.000995200,1
92.001852480,0
92.502458080,1
92.503259520,0
93.003776480,1
93.004452320,0
93.504972640,1
93.505683840,0
94.006186240,1
94.006843520,0
94.507349120,1
94.508056000,0
95.008561280,1
95.009269600,0
95.509770560,1
95.510527520,0
96.011052320,1
96.011716480,0
96.512227360,1
96.512948800,0
97.013465440,1
97.014154720,0
97.514680320,1
97.515454880,0
98.015887040,1
98.016518560,0
98.517023360,1
98.517675040,0
99.018178240,1
99.018817280,0
99.519354560,1
99.520026880,0
100.020464640,1
100.021157760,0
100.521580800,1
100.522257440,0
101.022677920,1
101.023332640,0
101.523759200,1
101.524430560,0
102.024851840,1
102.025463520,0
102.525876160,1
102.526647040,0
103.027154720,1
103.027814560,0
103.528325920,1
103.529062240,0
104.029568640,1
104.030237760,0
104.530923360,1
104.531627520,0
105.032133760,1
105.032822240,0
105.533502720,1
105.534218080,0
106.034722880,1
106.035407840,0
106.535929120,1
106.536620640,0
107.037127840,1
107.037807040,0
107.538278880,1
107.539028800,0
108.039546880,1
108.040213920,0
108.540716800,1
108.541356000,0
109.041781920,1
109.042381280,0
109.542777280,1
109.543418080,0
110.043840480,1
110.044431200,0
110.544819360,1
110.545509120,0
111.046013120,1
111.046578560,0
111.546972960,1
111.547624640,0
112.048048000,1
112.048715520,0
112.549164480,1
112.550147520,0
113.050781600,1
113.051647840,0
113.552284640,1
113.553148480,0
114.053756320,1
114.054638720,0
114.555296640,1
114.556199520,0
115.056826880,1
115.057527360,0
115.558028160,1
115.558772960,0
116.059281120,1
116.059919680,0
116.560422240,1
116.561154240,0
117.061657440,1
117.062414240,0
117.562906560,1
117.563454240,0
118.063757440,1
118.064208000,0
118.564507040,1
118.564967840,0
119.065266720,1
119.065708640,0
119.566009920,1
119.566471680,0
120.066769440,1
120.067441760,0
120.567875680,1
120.568561600,0
121.068985600,1
121.069593120,0
121.570019680,1
121.570711040,0
122.071190720,1
122.071945920,0
122.572427840,1
122.573403360,0
123.074033120,1
123.074997760,0
123.575633120,1
123.576516960,0
124.077341760,1
124.078302080,0
124.578956960,1
124.579816960,0
125.080443360,1
125.081358560,0
125.581996160,1
125.582919040,0
126.083559040,1
126.084432640,0
126.585071520,1
126.585944000,0
127.086575840,1
127.087505120,0
127.588109440,1
127.588847520,0
128.089362880,1
128.090071200,0
128.590578720,1
128.591228320,0
129.091661760,1
129.092324320,0
129.592822880,1
129.593451680,0
130.093960160,1
130.094658240,0
130.595150880,1
130.595832320,0
131.096357120,1
131.097042720,0
131.597576160,1
131.598300480,0
132.098825440,1
132.099592320,0
132.600217440,1
132.600968160,0
133.101687360,1
133.102427200,0
133.603140320,1
133.603862880,0
134.104582080,1
134.105323520,0
134.606037600,1
134.606877120,0
135.107413920,1
135.108187040,0
135.608700320,1
135.609459680,0
136.109971360,1
136.110602400,0
136.611138400,1
136.611866560,0
137.112372640,1
137.113092800,0
137.613586880,1
137.614340160,0
138.114867360,1
138.115575840,0
138.616092640,1
138.616736320,0
139.117162720,1
139.117833920,0
139.618259520,1
139.618862400,0
140.119287520,1
140.119974720,0
140.620399040,1
140.621049440,0
141.121468160,1
141.122119200,0
141.622581280,1
141.623236000,0
142.123657920,1
142.124356160,0
142.624796320,1
142.625569280,0
143.126119680,1
143.126881280,0
143.627422720,1
143.628150560,0
144.128672160,1
144.129384320,0
144.629889920,1
144.630544320,0
145.131055360,1
145.131742560,0
145.632241120,1
145.632945440,0
146.133448000,1
146.134079840,0
146.634644960,1
146.635342880,0
147.135845920,1
147.136590080,0
147.637108160,1
147.638100480,0
148.138808800,1
148.139760320,0
148.640408960,1
148.641286400,0
149.141923520,1
149.142836480,0
149.643484000,1
149.644285920,0
150.144914240,1
150.145836480,0
150.646468000,1
150.647333280,0
151.147968160,1
151.148852480,0
151.649481760,1
151.650336640,0
152.150963520,1
152.151907200,0
152.652537760,1
152.653535840,0
153.154186560,1
153.155161920,0
153.655810720,1
153.656669280,0
154.157334720,1
154.158296800,0
154.658968800,1
154.659765600,0
155.160393280,1
155.161316320,0
155.661947840,1
155.662865280,0
156.163508160,1
156.164386080,0
156.665016000,1
156.665904480,0
157.166529440,1
157.167454240,0
157.668082720,1
157.669043200,0
158.169700480,1
158.170626560,0
158.671276800,1
158.672156320,0
159.172782240,1
159.173684160,0
159.674351040,1
159.675161760,0
160.175790080,1
160.176669920,0
160.677296000,1
160.678249760,0
161.178873280,1
161.179689280,0
161.680293920,1
161.681131840,0
162.181748000,1
162.182670720,0
162.683309280,1
162.684059200,0
163.184581280,1
163.185280320,0
163.685803520,1
163.686492960,0
164.187029120,1
164.187722240,0
164.688252960,1
164.688902560,0
165.189424800,1
165.190116640,0
165.690681600,1
165.691410560,0
166.191941280,1
166.192594400,0
166.693112640,1
166.693775520,0
167.194304000,1
167.195032320,0
167.695546240,1
167.696492800,0
168.197164000,1
168.198109600,0
168.698796480,1
168.699677440,0
169.200334080,1
169.201213760,0
169.701857920,1
169.702681120,0
170.203319360,1
