Start Time [s],End Time [s],Duration [s]
2.9790672,2.97928384,0.0002166400000001012
3.48274192,3.48294688,0.00020496000000003178
3.98294864,3.98312016,0.00017151999999986955
4.48308352,4.48323936,0.00015583999999968512
4.98320416,4.98335712,0.00015296000000031285
5.48332896,5.4834912,0.00016223999999986916
5.98345136,5.98360656,0.000155200000000022
6.4835672,6.48371792,0.00015071999999971553
6.98368656,6.983836,0.00014944000000038926
7.48379024,7.48394096,0.00015071999999971553
7.9839104,7.9842112,0.0003007999999997679
8.48403664,8.48419376,0.00015712000000078774
8.98419408,8.98441008,0.00021599999999999397
9.48440496,9.48460976,0.00020479999999878373
9.98460336,9.98477376,0.00017040000000001498
10.48478416,10.48498544,0.0002012800000006365
10.98498944,10.98517488,0.00018544000000098038
11.48517472,11.48536368,0.00018896000000090396
11.9853704,11.9855736,0.0002031999999996259
12.48556352,12.48575584,0.00019232000000002358
12.98575584,12.985956,0.00020016000000033785
13.48595344,13.48615872,0.00020528000000119562
13.98615376,13.98635744,0.00020368000000026143
14.48635072,14.48655808,0.00020735999999921262
14.98655712,14.98674896,0.00019183999999938806
15.48675104,15.48695584,0.0002048000000005601
15.98695632,15.9871432,0.00018687999999933425
16.48714784,16.48735536,0.00020752000000001658
16.98734048,16.98752288,0.00018239999999991596
17.48751248,17.48770912,0.00019664000000219062
17.98771024,17.98802848,0.0003182400000021346
18.48789904,18.4880976,0.00019856000000118001
18.98809296,18.9882728,0.00017984000000126343
19.48825552,19.4884568,0.00020128000000241286
19.98844656,19.98862656,0.00018000000000029104
20.488628,20.48883408,0.0002060800000016627
20.98882976,20.9890352,0.00020543999999844686
21.48901648,21.48921488,0.0001983999999985997
21.98921568,21.9894208,0.00020512000000039166
22.48940208,22.4895944,0.00019232000000002358
22.9895824,22.9897584,0.00017599999999973193
23.48974096,23.4899416,0.00020064000000274973
23.98993984,23.99013152,0.00019167999999680774
24.4901184,24.49032,0.00020160000000046807
24.99030656,24.99046352,0.00015695999999820742
25.49046368,25.49067136,0.00020767999999904418
25.9906664,25.99085184,0.00018544000000275673
26.49085424,26.49105472,0.0002004800000001694
26.99106288,26.99125744,0.0001945599999970682
27.49124752,27.49144384,0.00019631999999702998
27.9914432,27.99165456,0.0002113600000015481
28.49162256,28.49182384,0.00020127999999886015
28.99181504,28.99199168,0.00017664000000294777
29.4919808,29.49218528,0.00020448000000072852
29.9922032,29.9923832,0.00018000000000029104
30.49238544,30.49259424,0.00020879999999934284
30.99262176,30.9928024,0.00018063999999995417
31.4928088,31.49300832,0.00019952000000245107
31.9930176,31.99321056,0.00019295999999968672
32.4932104,32.49340608,0.00019567999999736685
32.99341584,32.993588,0.00017216000000530585
33.4935816,33.49378832,0.00020672000000132584
33.99377552,33.99395904,0.00018352000000021462
34.4939496,34.4941536,0.00020399999999654028
34.99414576,34.99429808,0.00015231999999798518
35.49430224,35.49451712,0.00021487999999436624
35.99451424,35.99470096,0.000186720000002083
36.49470816,36.49493312,0.00022495999999705418
36.9949376,36.9951128,0.0001752000000010412
37.49509968,37.49528496,0.0001852799999966237
37.99531104,37.99549152,0.00018048000000447928
38.49548448,38.49568432,0.00019984000000050628
38.99568096,38.99586112,0.00018015999999931864
39.49584816,39.49605952,0.0002113600000015481
39.99604496,39.99621152,0.00016656000000381255
40.49621488,40.49642064,0.0002057600000000548
40.9964168,40.99660544,0.0001886400000046251
41.49660288,41.4968008,0.0001979200000050696
41.99682928,41.99703584,0.00020656000000229824
42.49700976,42.49719552,0.00018576000000081194
42.99719168,42.99748816,0.00029648000000292996
43.49734912,43.4975416,0.00019247999999549847
43.99754096,43.99772992,0.0001889599999955749
44.49772064,44.49792704,0.00020640000000327063
44.99791744,44.9980824,0.00016495999999932565
45.49808208,45.49828048,0.00019839999999504698
45.99828512,45.99847152,0.0001864000000040278
46.49847232,46.498664,0.00019168000000036045
46.99866224,46.99888112,0.00021887999999847807
47.4988696,47.49906144,0.00019183999999938806
47.99906032,47.99925424,0.00019392000000095777
48.49924816,48.49944576,0.00019759999999990896
48.99944016,48.9996136,0.0001734400000046321
49.49960096,49.4998008,0.00019984000000050628
49.99978944,49.99996832,0.00017887999999999238
50.49996768,50.50016992,0.0002022400000001312
51.00016736,51.00035968,0.0001923200000035763
51.50035904,51.50055008,0.0001910399999971446
52.00055232,52.00074704,0.00019472000000320122
52.500732,52.50091328,0.0001812799999996173
53.0009112,53.00108272,0.00017152000000209
53.50106816,53.50127504,0.00020688000000035345
54.00126736,54.00146784,0.0002004799999966167
54.50145936,54.50166528,0.0002059199999990824
55.001648,55.00181664,0.00016863999999827683
55.50180112,55.50200448,0.00020335999999332444
56.0019968,56.00218752,0.0001907199999990894
56.50217344,56.50236512,0.00019168000000036045
57.00236736,57.00255552,0.00018816000000043687
57.50253536,57.5027424,0.00020703999999938105
58.00277232,58.00296192,0.00018959999999879074
58.50295152,58.5031544,0.00020287999999624162
59.0031472,59.00332432,0.00017711999999647787
59.50330624,59.50350752,0.00020127999999886015
60.0034968,60.003824,0.00032720000000097116
60.50368,60.50388592,0.0002059199999990824
61.0038824,61.0040728,0.00019040000000103419
61.504072,61.50426736,0.00019535999999931164
62.00426608,62.00445712,0.0001910399999971446
62.50443856,62.50462832,0.00018976000000492377
63.00462448,63.00479696,0.00017248000000336106
63.50478384,63.50498912,0.00020527999999586655
64.004976,64.00515856,0.00018255999999894357
64.50514144,64.50534512,0.00020367999999848507
65.00532448,65.00549408,0.00016960000000665332
65.50548128,65.50568608,0.00020480000000588916
66.00567872,66.00588,0.00020127999999886015
